ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
115,RS Cas,23,34,55,62,9,114.47,0.78
116,RW Cas,1,33,57,57,30,129.03,-4.57
117,RY Cas,23,49,38,58,27,115.29,-3.25
118,SU Cas,2,47,28.88,68,40,133.47,8.52
119,SW Cas,23,5,2,58,17,109.67,-1.61
120,SY Cas,0,12,30,58,8,118.19,-4.11
121,SZ Cas,2,23,33,59,14,134.84,-1.18
122,TU Cas,0,23,36.68,51,0,118.93,-11.4
123,UZ Cas,1,9,31,60,56,125.49,-1.55
124,VV Cas,1,47,41,59,38,130.36,-2.12
125,VW Cas,1,2,40,61,29,124.63,-1.07
126,XY Cas,0,46,55,59,51,122.74,-2.74
127,AP Cas,0,30,25,62,37,120.87,0.11
128,AS Cas,0,22,49,63,57,120.13,1.5
